HID;PID;TIME_PERIOD;REF_AREA;DIARY;DDV1;DDV1A;DDV2;DDV3;DDV4;DDV5A;DDV5B;DDV5C;DDV5D;DDV5E;DDV6;DDV7;DDV8A;DDV8B;WGHT1;DATA_COLLECTION_MODE
10967;1;2020;AT;2;1;2;29;5;2022;611;321;321;1;1;1;3;1;-1;229,2901465752740;1
10967;2;2020;AT;1;3;1;24;5;2022;21;321;111;3;1;1;1;1;-1;491,3360283755860;1
10967;2;2020;AT;2;1;2;29;5;2022;21;321;341;1;1;1;3;2;100;229,2901465752740;1
10978;1;2020;AT;1;5;1;2;6;2022;719;11;11;2;1;2;-1;1;-1;1903,9034906666900;1
10978;1;2020;AT;2;7;2;4;6;2022;31;21;341;2;1;2;-1;1;-1;888,4882956444540;1
10978;2;2020;AT;1;5;1;2;6;2022;11;611;611;2;1;2;-1;1;-1;1903,9034906666900;1
10978;2;2020;AT;2;7;2;4;6;2022;11;611;611;2;1;2;-1;1;-1;888,4882956444540;1
10983;1;2020;AT;1;4;1;4;5;2022;21;312;111;2;1;1;1;1;-1;398,9600627918050;1
10983;1;2020;AT;2;7;2;7;5;2022;21;311;910;3;1;1;1;1;-1;186,1813626361760;1
10983;2;2020;AT;1;4;1;4;5;2022;341;362;362;4;2;1;6;1;-1;398,9600627918050;1
10983;2;2020;AT;2;7;2;7;5;2022;613;111;31;3;1;1;1;1;-1;186,1813626361760;1
11007;1;2020;AT;1;3;1;14;6;2022;341;615;-9;2;1;2;-1;1;-1;556,1401461865720;2
11007;1;2020;AT;2;5;2;16;6;2022;531;-9;-9;1;1;2;-1;1;-1;259,5320682204000;2
11007;2;2020;AT;1;3;1;14;6;2022;21;821;-9;1;1;2;-1;1;-1;556,1401461865720;2
11007;2;2020;AT;2;5;2;16;6;2022;531;11;-9;1;1;2;-1;1;-1;259,5320682204000;2
11018;1;2020;AT;1;6;1;17;6;2022;519;-9;-9;2;1;1;1;1;-1;1507,0483355141801;2
